round,position,whos_turn,hole1,hole2,flop1,flop2,flop3,turn,river,pot_bb,to_call_bb,hero_stack_bb,opp_stack_bb,effective_stack_bb,spr,raise_to_bb,bet_frac_of_pot,bet_frac_of_pot_clipped,is_allin,action,p_fold,p_check_call,p_raise_s,p_raise_m,p_raise_l,model_class
flop,SB,villain,Qs,Qc,3s,9h,5s,,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,,,,,,
flop,BB,hero,5h,8h,3s,9h,5s,,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,0.0,0.9999992847442627,7.043652772154019e-07,8.80100488185396e-28,0.0,check_call
flop,SB,villain,Qs,Qc,3s,9h,5s,,,12.0,0.0,99.0,89.0,89.0,7.416666666666667,10.0,0.8333333333333334,0.8333333333333334,0.0,raise,,,,,,
flop,BB,hero,5h,8h,3s,9h,5s,,,22.0,10.0,89.0,89.0,89.0,4.045454545454546,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
turn,SB,villain,Qs,Qc,3s,9h,5s,Js,,32.0,0.0,89.0,79.0,79.0,2.46875,10.0,0.3125,0.3125,0.0,raise,,,,,,
turn,BB,hero,5h,8h,3s,9h,5s,Js,,42.0,10.0,79.0,79.0,79.0,1.880952380952381,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
river,SB,villain,Qs,Qc,3s,9h,5s,Js,7s,52.0,0.0,79.0,69.0,69.0,1.3269230769230769,10.0,0.19230769230769232,0.19230769230769232,0.0,raise,,,,,,
river,BB,hero,5h,8h,3s,9h,5s,Js,7s,62.0,10.0,69.0,69.0,69.0,1.1129032258064515,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,BB,villain,9c,Kc,,,,,,1.5,0.0,99.5,99.0,99.0,66.0,0.0,0.0,0.0,0.0,check,,,,,,
preflop,SB,hero,Td,7c,,,,,,2.0,0.5,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,call,0.0,1.0,5.508570834694341e-25,0.0,0.0,check_call
flop,SB,hero,Td,7c,Ac,2h,4c,,,2.0,0.0,99.0,99.0,99.0,49.5,0.0,0.0,0.0,0.0,check,0.0,1.0,1.8475850124461163e-24,0.0,0.0,check_call
flop,BB,villain,9c,Kc,Ac,2h,4c,,,4.0,0.0,99.0,97.0,97.0,24.25,2.0,0.5,0.5,0.0,raise,,,,,,
flop,SB,hero,Td,7c,Ac,2h,4c,,,6.0,2.0,97.0,97.0,97.0,16.166666666666668,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
turn,SB,hero,Td,7c,Ac,2h,4c,4s,,6.0,0.0,97.0,97.0,97.0,16.166666666666668,0.0,0.0,0.0,0.0,check,0.0,1.0,0.0,0.0,0.0,check_call
turn,BB,villain,9c,Kc,Ac,2h,4c,4s,,8.0,0.0,97.0,95.0,95.0,11.875,2.0,0.25,0.25,0.0,raise,,,,,,
turn,SB,hero,Td,7c,Ac,2h,4c,4s,,10.0,2.0,95.0,95.0,95.0,9.5,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
river,SB,hero,Td,7c,Ac,2h,4c,4s,5c,10.0,0.0,95.0,95.0,95.0,9.5,0.0,0.0,0.0,0.0,check,0.0,1.0,0.0,0.0,0.0,check_call
river,BB,villain,9c,Kc,Ac,2h,4c,4s,5c,60.0,0.0,95.0,45.0,45.0,0.75,50.0,0.8333333333333334,0.8333333333333334,0.0,raise,,,,,,
river,SB,hero,Td,7c,Ac,2h,4c,4s,5c,110.0,50.0,45.0,45.0,45.0,0.4090909090909091,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,BB,hero,Ad,Td,,,,,,1.5,0.0,99.0,99.5,99.0,66.0,0.0,0.0,0.0,0.0,check,0.0,1.0,3.1931444668359172e-24,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,51.0,0.5,99.0,50.0,50.0,0.9803921568627451,49.5,0.9705882352941176,0.9705882352941176,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,100.0,49.0,50.0,50.0,50.0,0.5,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
